Strongyloidiasis.txt; infection; symptom; treatment; stool; disease
SleepParalysis.txt; sleep; paralysis; episode; rem; symptom
PulmonaryEmbolism.txt; pe; blood; embolism; test; risk
VenousUlcer.txt; ulcer; leg; compression; skin; blood
Anemia.txt; blood; anemia; iron; cell; deficiency
SkinCancer.txt; skin; cancer; melanoma; carcinoma; people
Pericarditis.txt; heart; pain; pericarditis; cause; symptom
ScarletFever.txt; fever; infection; disease; rash; group
ToothDecay.txt; cary; tooth; teeth; decay; enamel
OccupationalBurnout.txt; burnout; exhaustion; health; job; symptom
DownSyndrome.txt; syndrome; age; screen; chromosome; risk
Hyperglycemia.txt; hyperglycemia; level; glucose; diabete; blood
HerpesSimplex.txt; herpe; infection; virus; Herpes; simplex
Hepatomegaly.txt; liver; disease; cause; treatment; hepatomegaly
ZikaFever.txt; virus; case; infection; fever; mosquito
Aphasia.txt; aphasia; language; speech; people; therapy
Schizophrenia.txt; schizophrenia; symptom; people; disorder; risk
DiabeticNeuropathy.txt; neuropathy; nerve; pain; blood; muscle
AllergicRhinitis.txt; rhinitis; symptom; test; people; pollen
Dermatophytosis.txt; infection; ringworm; treatment; hair; pet
Appendicitis.txt; appendicitis; appendix; pain; surgery; person
Insomnia.txt; sleep; insomnia; disorder; time; people
Lesch-NyhanSyndrome.txt; acid; disease; syndrome; ln; mutation
Nephrocalcinosis.txt; calcium; nephrocalcinosis; kidney; phosphate; cause
KidneyFailure.txt; kidney; failure; disease; blood; cause
Shingles.txt; shingle; virus; rash; people; VZV
Allergy.txt; allergy; test; reaction; skin; allergen
Jaundice.txt; bilirubin; jaundice; level; liver; blood
Thalassemia.txt; people; blood; thalassemia; iron; chain
Tracheitis.txt; trachea; tracheitis; bronchy; lung; infection
AuditoryProcessingDisorder.txt; process; disorder; test; children; problem
SplenicInfarction.txt; infarction; spleen; example; condition; blood
Overweight.txt; body; bmy; weight; fat; person
Tay-SachsDisease.txt; disease; mutation; enzyme; population; carrier
BlackDeath.txt; plague; death; population; disease; Europe
Catarrh.txt; catarrh; word; inflammation; jump; mucous
Keratoconus.txt; cornea; eye; keratoconus; lense; vision
Meningism.txt; sign; meningitis; rigidity; symptom; neck
Haemophilia.txt; haemophilia; factor; treatment; clote; blood
ChronicFatigueSyndrome.txt; symptom; illness; patient; fatigue; disease
Scoliosis.txt; scoliosis; curve; spine; brace; people
Glaucoma.txt; glaucoma; eye; pressure; angle; vision
Diphtheria.txt; diphtheria; case; throat; vaccine; death
MultipleSclerosis.txt; ms; disease; sclerosis; symptom; treatment
Constipation.txt; constipation; bowel; cause; stool; disease
ErectileDysfunction.txt; ED; penis; erection; case; treatment
Kleptomania.txt; disorder; kleptomania; treatment; use; substance
Cirrhosis.txt; cirrhosis; liver; hepatitis; disease; portal
