# FileName; Centroid; currentDistance; finalDistance; NewNodesAdded; NewRelationsAdded 
Acne.txt; therapy; NaN; NaN; 749; 17372
Jaundice.txt; therapy; 0.0; 0.0; 203; 2742
Arthritis.txt; therapy; 0.0; 0.0; 186; 3419
Hepatomegaly.txt; therapy; 0.0; 0.0; 46; 574
Obesity.txt; effect; 1.493; 6.281; 472; 12654
Kleptomania.txt; therapy; 1.603; 6.281; 162; 2479
Epilepsy.txt; effect; 1.852; 6.281; 308; 10088
Malaria.txt; effect; 0.0; 0.0; 445; 14282
BrainTumor.txt; effect; 0.0; 0.0; 211; 6118
Pneumonia.txt; effect; 0.0; 0.0; 222; 11509
AnxietyDisorder.txt; effect; 0.0; 0.0; 140; 5200
AuditoryProcessingDisorder.txt; effect; 0.0; 0.0; 159; 5864
BipolarDisorder.txt; effect; 0.0; 0.0; 280; 11590
SkinCancer.txt; effect; 0.0; 0.0; 99; 2733
Sepsis.txt; effect; 0.0; 0.0; 166; 10076
NarcissisticPersonalityDisorder.txt; effect; 0.0; 0.0; 152; 3819
AtopicDermatitis.txt; effect; 0.0; 0.0; 56; 2927
FetalAlcoholSyndrome.txt; antibiotics; 3.913; 9.412; 184; 9401
Rubella.txt; antibiotics; 0.0; 0.0; 65; 2335
ChronicObstructivePulmonaryDisease.txt; therapy; 3.03; 9.437; 144; 10432
Tinnitus.txt; antibiotics; 3.136; 9.437; 71; 4043
Toothache.txt; therapy; 3.279; 9.437; 309; 9270
LSC.txt; therapy; 0.0; 0.0; 17; 387
Myocarditis.txt; therapy; 0.0; 0.0; 56; 2077
Type2Diabetes.txt; therapy; 0.0; 0.0; 63; 4479
Encephalitis.txt; therapy; 0.0; 0.0; 23; 1148
Syphilis.txt; therapy; 0.0; 0.0; 157; 5687
KlinefelterSyndrome.txt; therapy; 0.0; 0.0; 69; 2077
Haemophilia.txt; therapy; 0.0; 0.0; 102; 2819
Stroke.txt; women; 3.929; 11.132; 176; 9332
Chlamydia.txt; women; 0.0; 0.0; 45; 2034
Diarrhea.txt; women; 0.0; 0.0; 94; 4835
Migraine.txt; women; 0.0; 0.0; 86; 5732
HIVAIDS.txt; women; 0.0; 0.0; 227; 13502
Salmonellosis.txt; women; 0.0; 0.0; 69; 2372
Glaucoma.txt; women; 0.0; 0.0; 163; 4723
Meningitis.txt; women; 0.0; 0.0; 87; 6273
LymeDisease.txt; women; 0.0; 0.0; 323; 19351
DownSyndrome.txt; women; 0.0; 0.0; 111; 6622
Cataract.txt; women; 0.0; 0.0; 75; 3312
AvianInfluenza.txt; birth; 2.024; 5.831; 251; 10652
Wart.txt; birth; 0.0; 0.0; 64; 1504
PeripheralNeuropathy.txt; birth; 0.0; 0.0; 83; 4058
Strongyloidiasis.txt; birth; 0.0; 0.0; 49; 1605
SystemicLupusErythematosus.txt; birth; 0.0; 0.0; 143; 5119
ColorectalCancer.txt; birth; 0.0; 0.0; 91; 4700
Trichomoniasis.txt; birth; 0.0; 0.0; 20; 692
Meningism.txt; birth; 0.0; 0.0; 10; 358
EarPain.txt; birth; 0.0; 0.0; 55; 2868
Dementia.txt; birth; 0.0; 0.0; 144; 5820
Pericarditis.txt; birth; 0.0; 0.0; 33; 1234
PharyngitisSoreThroat.txt; birth; 0.0; 0.0; 19; 795
Guillain–BarreSyndrome.txt; birth; 0.0; 0.0; 60; 4344
Stomatitis.txt; birth; 0.0; 0.0; 32; 1112
Dermatitis.txt; birth; 0.0; 0.0; 41; 1895
Dermatophytosis.txt; birth; 0.0; 0.0; 56; 1497
TBI.txt; birth; 0.0; 0.0; 98; 10291
Giardiasis.txt; birth; 0.0; 0.0; 39; 1625
ZikaFever.txt; birth; 0.0; 0.0; 108; 6982
GastroesophagealRefluxDisease.txt; birth; 0.0; 0.0; 66; 2989
DengueFever.txt; birth; 0.0; 0.0; 82; 7515
Hyperglycemia.txt; birth; 0.0; 0.0; 26; 848
Leukemia.txt; birth; 0.0; 0.0; 69; 2443
Measles.txt; birth; 0.0; 0.0; 84; 4801
Diphtheria.txt; birth; 0.0; 0.0; 79; 1920
PancreaticCancer.txt; birth; 0.0; 0.0; 85; 4630
Schizophrenia.txt; birth; 0.0; 0.0; 91; 6929
TesticularCancer.txt; birth; 0.0; 0.0; 55; 2405
Rheumatism.txt; birth; 0.0; 0.0; 13; 459
YellowFever.txt; birth; 0.0; 0.0; 115; 4766
ParkinsonsDisease.txt; birth; 0.0; 0.0; 602; 12397
Salmonella.txt; birth; 0.0; 0.0; 83; 2852
Psychosis.txt; birth; 0.0; 0.0; 118; 6112
NummularDermatitis.txt; birth; 0.0; 0.0; 5; 167
MERS.txt; birth; 0.0; 0.0; 69; 5419
StomachCancer.txt; birth; 0.0; 0.0; 58; 3466
Pleurisy.txt; birth; 0.0; 0.0; 18; 1122
Ebola.txt; birth; 0.0; 0.0; 139; 9784
Constipation.txt; birth; 0.0; 0.0; 44; 2093
GastrointestinalCancer.txt; birth; 0.0; 0.0; 13; 904
LactoseIntolerance.txt; birth; 0.0; 0.0; 48; 3790
Catarrh.txt; birth; 0.0; 0.0; 8; 291
STD.txt; birth; 0.0; 0.0; 57; 2650
MajorDepressiveDisorder.txt; birth; 0.0; 0.0; 114; 9810
Thalassemia.txt; birth; 0.0; 0.0; 41; 1371
Athlete'sFoot.txt; birth; 0.0; 0.0; 30; 2016
BackPain.txt; birth; 0.0; 0.0; 29; 2003
CommonCold.txt; birth; 0.0; 0.0; 27; 2669
Far-sightedness.txt; birth; 0.0; 0.0; 13; 560
Water-relatedDiseases.txt; birth; 0.0; 0.0; 39; 2613
BreastCancer.txt; birth; 0.0; 0.0; 117; 6158
Roseola.txt; birth; 0.0; 0.0; 35; 3132
Smallpox.txt; birth; 0.0; 0.0; 496; 11243
Narcolepsy.txt; birth; 0.0; 0.0; 70; 3077
Lymphedema.txt; birth; 0.0; 0.0; 68; 2515
FifthDisease.txt; birth; 0.0; 0.0; 10; 242
